phase,layer,n_pairs,delta_norm_mean,direction_coherence,heldout_cosine_mean,heldout_positive_rate,permutation_p
final_prompt,2,32,0.14345653718556953,0.15637950604875944,-0.04325324774241128,0.5,0.7412935323383084
final_prompt,3,32,0.192966535344999,0.16930562423955986,-0.013251598376268256,0.53125,0.5572139303482587
final_prompt,4,32,0.25988828050248686,0.20034281211655625,0.044713799520929964,0.5625,0.14925373134328357
final_prompt,5,32,0.3379342950599493,0.1882470337869587,0.019659080751001895,0.5625,0.3333333333333333
final_prompt,6,32,0.4184119576795908,0.17972253384228054,0.002489150348617769,0.5625,0.47761194029850745
final_prompt,7,32,0.48884124939829704,0.17073613914998448,-0.014993608573565393,0.46875,0.6616915422885572
final_prompt,8,32,0.6378166333630381,0.15837667792892735,-0.03326540517089892,0.5625,0.8208955223880597
final_prompt,9,32,0.8061322581105026,0.16092369109119245,-0.025773534515665508,0.53125,0.6915422885572139
final_prompt,10,32,0.8967068282393711,0.18069684320584833,0.017891701784340776,0.5625,0.3482587064676617
final_prompt,11,32,0.9775322184317545,0.18011140415328214,0.014048788427289328,0.53125,0.3034825870646766
final_prompt,12,32,1.0375732335290657,0.17722791416841968,0.012134194358080157,0.53125,0.417910447761194
final_prompt,13,32,1.2807863450419892,0.1726512540555124,0.0024201829494650343,0.53125,0.5074626865671642
final_prompt,14,32,1.387294140597524,0.1720072627140308,-0.001556407878816654,0.53125,0.5472636815920398
final_prompt,15,32,1.535371685329277,0.18077467763813587,0.014266543546298818,0.53125,0.3781094527363184
final_prompt,16,32,1.6954195421653164,0.1989625888743383,0.04545600054734787,0.5625,0.0945273631840796
final_prompt,17,32,1.9557757934871343,0.2468266399221042,0.12250908201760148,0.65625,0.004975124378109453
final_prompt,18,32,2.8385883226584667,0.46652681629852055,0.40679302799803074,0.96875,0.004975124378109453
final_prompt,19,32,4.732595119304954,0.622317793748869,0.5835328887402178,1.0,0.004975124378109453
final_prompt,20,32,6.856609204168095,0.6693943726860507,0.6358493766960374,1.0,0.004975124378109453
final_prompt,21,32,9.015281235832738,0.6986815598941217,0.6677982867729618,1.0,0.004975124378109453
final_prompt,22,32,10.584289903700466,0.7093318663437341,0.6794319945440471,1.0,0.004975124378109453
final_prompt,23,32,13.794900574827585,0.6980017542906316,0.6659081696425247,1.0,0.004975124378109453
final_prompt,24,32,16.085998726718586,0.7015447179456032,0.6694452891919473,1.0,0.004975124378109453
final_prompt,25,32,18.582865163865186,0.7144367687031014,0.6835863680093333,1.0,0.004975124378109453
final_prompt,26,32,21.81603745851299,0.7145872201629734,0.6829509145168281,1.0,0.004975124378109453
final_prompt,27,32,24.61106744962112,0.7151985840047399,0.6830356934452051,1.0,0.004975124378109453
final_prompt,28,32,28.302280105793383,0.7137420827223051,0.6810051266966891,1.0,0.004975124378109453
final_prompt,29,32,31.38795000453607,0.712482252163953,0.6793202389762392,1.0,0.004975124378109453
final_prompt,30,32,35.14196142034085,0.7107414440174877,0.6774940997588959,1.0,0.004975124378109453
final_prompt,31,32,38.729731552283894,0.6970682059045054,0.6624828870512485,1.0,0.004975124378109453
final_prompt,32,32,42.701695483728315,0.6865967627379813,0.650933896214053,1.0,0.004975124378109453
final_prompt,33,32,47.479393505771526,0.6652879526916065,0.6274740607565619,1.0,0.004975124378109453
final_prompt,34,32,55.29881283291236,0.6568869798094318,0.6176564582172144,1.0,0.004975124378109453
final_prompt,35,32,12.861494544714459,0.6306929772818588,0.5856149493851435,1.0,0.004975124378109453
response_first,0,32,0.038149557502027615,0.1826739932061773,0.01817374291743507,0.5625,0.23383084577114427
response_first,1,32,0.10284475561200823,0.20182165377313183,0.0627265145550766,0.5625,0.16417910447761194
response_first,2,32,0.1632615369250514,0.17286937991750584,0.014671580497434777,0.53125,0.43781094527363185
response_first,3,32,0.2586578486551362,0.15021895039438835,-0.042260324758325675,0.53125,0.8109452736318408
response_first,4,32,0.36896547463808793,0.14855760316315084,-0.05142138773510019,0.46875,0.8407960199004975
response_first,5,32,0.46788708162139087,0.15560493570774267,-0.03863156805134228,0.53125,0.7910447761194029
