phase,layer,n_pairs,n_scenarios,delta_norm_mean,direction_coherence,heldout_cosine_mean,heldout_positive_rate,permutation_p,null_unit,null_draws
response_mean,4,128,16,0.17650289619838358,0.07269262094129247,0.01020995194549247,0.5,0.1474609375,scenario_id,65536
response_mean,5,128,16,0.2214891897942854,0.07479342152312274,0.016642280342792172,0.59375,0.0155181884765625,scenario_id,65536
response_mean,6,128,16,0.25866880376360846,0.08679217295399079,0.03230587293025422,0.59375,0.0022735595703125,scenario_id,65536
response_mean,7,128,16,0.3344636062451047,0.08162452209738921,0.022186110805548755,0.5546875,0.002471923828125,scenario_id,65536
response_mean,8,128,16,0.5311685304461802,0.06915768302414682,0.017700076528763396,0.5234375,0.020782470703125,scenario_id,65536
response_mean,9,128,16,0.6122441940916364,0.06603298806278599,0.016785712922899078,0.53125,0.049652099609375,scenario_id,65536
response_mean,10,128,16,0.6396131296925649,0.06389536366934906,0.01405808050398425,0.5390625,0.0588836669921875,scenario_id,65536
response_mean,11,128,16,0.7600018961324839,0.061169716565664445,0.01227818751915228,0.5546875,0.02606201171875,scenario_id,65536
response_mean,12,128,16,0.8305165539034025,0.06746449889978966,0.022741325795870154,0.6015625,0.00311279296875,scenario_id,65536
response_mean,13,128,16,0.9316447581909777,0.0880913598056528,0.049330064725393113,0.734375,3.0517578125e-05,scenario_id,65536
response_mean,14,128,16,1.0460360960674966,0.14360100296722125,0.11842961691575553,0.9140625,1.52587890625e-05,scenario_id,65536
response_mean,15,128,16,1.2679907963965193,0.191870038851808,0.1720654553507236,0.9453125,1.52587890625e-05,scenario_id,65536
response_mean,16,128,16,1.4300206141453442,0.2927306960551008,0.2778804029147841,0.9453125,1.52587890625e-05,scenario_id,65536
response_mean,17,128,16,1.666131795057081,0.33818575815557406,0.32397870860961575,0.9921875,1.52587890625e-05,scenario_id,65536
response_mean,18,128,16,2.7803933247128314,0.578033112289912,0.5693930854064988,1.0,1.52587890625e-05,scenario_id,65536
response_mean,19,128,16,4.266611878718807,0.6520499981441046,0.6424937950347485,1.0,1.52587890625e-05,scenario_id,65536
response_mean,20,128,16,6.131336974505123,0.6911563482904536,0.6822015103623782,1.0,1.52587890625e-05,scenario_id,65536
response_mean,21,128,16,8.389807555525913,0.7052357269066706,0.6949529665453653,1.0,1.52587890625e-05,scenario_id,65536
response_mean,22,128,16,9.539849120151946,0.6976777485313022,0.6866479487746746,1.0,1.52587890625e-05,scenario_id,65536
response_mean,23,128,16,11.690194794417756,0.673519018107405,0.6615287477314183,1.0,1.52587890625e-05,scenario_id,65536
response_mean,24,128,16,13.287360299180492,0.6653005493987203,0.6525252724733119,1.0,1.52587890625e-05,scenario_id,65536
response_mean,25,128,16,14.83278837693413,0.6577136224995839,0.6440132735035897,1.0,1.52587890625e-05,scenario_id,65536
response_mean,26,128,16,16.977575108298495,0.6587862418610375,0.6437735523657495,1.0,1.52587890625e-05,scenario_id,65536
response_mean,27,128,16,18.829513757488805,0.6669841499130397,0.6525381282014087,1.0,1.52587890625e-05,scenario_id,65536
response_mean,28,128,16,20.8410417304977,0.6657920987629661,0.6509603911575678,1.0,1.52587890625e-05,scenario_id,65536
response_mean,29,128,16,22.730753984470596,0.6602077266068974,0.6448526034676569,1.0,1.52587890625e-05,scenario_id,65536
response_mean,30,128,16,25.538697139414474,0.6588514135214347,0.643527676660474,1.0,1.52587890625e-05,scenario_id,65536
response_mean,31,128,16,27.968925327175462,0.6628007685727324,0.6474250132989166,1.0,1.52587890625e-05,scenario_id,65536
response_mean,32,128,16,30.787345207239802,0.6605444152466472,0.6451000277607168,1.0,1.52587890625e-05,scenario_id,65536
response_mean,33,128,16,34.328543047427274,0.6597687230731993,0.6444164961818196,1.0,1.52587890625e-05,scenario_id,65536
response_mean,34,128,16,39.883578790046684,0.6637878759280358,0.6488517013695554,1.0,1.52587890625e-05,scenario_id,65536
response_mean,35,128,16,10.343023716661595,0.768039794097983,0.7588230633535613,1.0,1.52587890625e-05,scenario_id,65536
